id,kab_id,sektor_id,tahun,rn,rin,rij,mij,cij,kategori_pertumbuhan,kategori_daya_saing,created_at,updated_at,nij,dij,periode
129,1202,10,2022,0.04725,0.07598,0.04826,1726509560.13890,60707938.27700,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:09,2026-07-16 01:53:00,2839292061.723,4626509560.1389,null
130,1202,11,2022,0.04725,0.03814,0.03172,-853055678.66340,-1454079143.60340,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:09,2026-07-16 01:53:00,4424079143.6034,2116944321.3366,null
131,1202,12,2022,0.04725,0.04528,0.04851,-242953875.13060,155961210.50190,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:09,2026-07-16 01:53:00,5834038789.4981,5747046124.8694,null
132,1202,13,2022,0.04725,0.08777,0.06581,695668815.90490,318706195.71000,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:09,2026-07-16 01:53:00,811293804.29,1825668815.9049,null
133,1202,14,2022,0.04725,-0.00733,-0.00878,-31763822106.65600,-32607993147.61700,Pertumbuhan Lambat,Tidak Dapat Bersaing,2026-07-15 20:11:09,2026-07-16 01:53:00,27497993147.617,-36873822106.656,null
134,1202,15,2022,0.04725,0.05136,0.04523,431597799.46260,-212736649.07250,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:09,2026-07-16 01:53:00,4962736649.0725,5181597799.4626,null
135,1202,16,2022,0.04725,0.04830,0.05570,45718822.01740,368453775.12110,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:09,2026-07-16 01:53:00,2061546224.8789,2475718822.0174,null
136,1202,17,2022,0.04725,0.08723,0.07308,311816748.18660,201444864.67900,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:09,2026-07-16 01:53:00,368555135.321,881816748.1866,null
137,1203,1,2022,0.04725,0.05029,0.06896,13997111103.61500,100067385630.99000,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:25,2026-07-16 01:53:14,217772614369.01,331837111103.61,null
138,1203,2,2022,0.04725,0.02616,0.00063,-24868345674.73000,-54963801157.68400,Pertumbuhan Lambat,Tidak Dapat Bersaing,2026-07-15 20:11:25,2026-07-16 01:53:14,55703801157.684,-24128345674.73,null
139,1203,3,2022,0.04725,0.01982,0.04380,-16337415233.08000,-2053437141.01280,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:25,2026-07-16 01:53:14,28143437141.013,9752584766.9196,null
140,1203,4,2022,0.04725,0.04810,0.06215,6039794.92720,105465338.70860,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:25,2026-07-16 01:53:14,334534661.2914,446039794.9273,null
141,1203,5,2022,0.04725,0.02167,0.06542,-218978667.72990,155534364.31440,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:25,2026-07-16 01:53:14,404465635.6856,341021332.2701,null
142,1203,6,2022,0.04725,0.03032,0.00665,-19131946345.20200,-45878046390.75100,Pertumbuhan Lambat,Tidak Dapat Bersaing,2026-07-15 20:11:25,2026-07-16 01:53:14,53388046390.751,-11621946345.202,null
143,1203,7,2022,0.04725,0.06572,0.05990,20881719250.56500,14295965747.14300,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:25,2026-07-16 01:53:14,53414034252.857,88591719250.565,null
144,1203,8,2022,0.04725,0.12963,0.08839,11873556944.80300,5929762608.48500,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:25,2026-07-16 01:53:14,6810237391.515,24613556944.803,null
145,1203,9,2022,0.04725,0.07257,0.07421,3429066142.36420,3651315842.92680,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:25,2026-07-16 01:53:14,6398684157.0732,13479066142.364,null
146,1203,10,2022,0.04725,0.07598,0.07959,2176740959.82900,2450290121.54880,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:25,2026-07-16 01:53:14,3579709878.4512,8206740959.829,null
147,1203,11,2022,0.04725,0.03814,0.05022,-778346113.72650,253376255.06750,Pertumbuhan Cepat,Daya Saing Baik,2026-07-15 20:11:25,2026-07-16 01:53:14,4036623744.9326,3511653886.2735,null
148,1203,12,2022,0.04725,0.04528,0.03050,-389686445.54030,-3317520384.48370,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:25,2026-07-16 01:53:14,9357520384.4837,5650313554.4597,null
149,1203,13,2022,0.04725,0.08777,0.02917,194479342.82720,-86803160.19750,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:25,2026-07-16 01:53:14,226803160.1975,334479342.8272,null
150,1203,14,2022,0.04725,-0.00733,0.02280,-31357741213.68500,-14046448249.31100,Pertumbuhan Lambat,Tidak Dapat Bersaing,2026-07-15 20:11:25,2026-07-16 01:53:14,27146448249.311,-18257741213.685,null
151,1203,15,2022,0.04725,0.05136,0.04567,318551474.95320,-122871037.19030,Pertumbuhan Cepat,Tidak Dapat Bersaing,2026-07-15 20:11:25,2026-07-16 01:53:14,3662871037.1903,3858551474.9532,null
