Tahun,Provinsi,Nilai Investasi
2011,Sumatera Utara,105936800000
2011,Sumatera Utara,0
2011,Sumatera Utara,300000
2011,Sumatera Utara,0
2011,Sumatera Utara,807121200000
2011,Sumatera Utara,77201500000
2011,Sumatera Utara,0
2011,Sumatera Utara,59049000000
2011,Sumatera Utara,31060700000
2011,Sumatera Utara,410774600000
2011,Sumatera Utara,11246800000
2011,Sumatera Utara,0
2011,Sumatera Utara,6831600000
2011,Sumatera Utara,39680200000
2012,Sumatera Utara,12775900000
2012,Sumatera Utara,39110400000
2012,Sumatera Utara,3391500000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,5047300000
2012,Sumatera Utara,85200000
2012,Sumatera Utara,32635000000
2012,Sumatera Utara,0
2012,Sumatera Utara,139384300000
2012,Sumatera Utara,5355000000
2012,Sumatera Utara,6980500000
2012,Sumatera Utara,0
2012,Sumatera Utara,40679500000
2012,Sumatera Utara,32300500000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,79000000000
2012,Sumatera Utara,81448500000
2012,Sumatera Utara,3073000000
2012,Sumatera Utara,216500000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,22826700000
2012,Sumatera Utara,0
2012,Sumatera Utara,818524900000
2012,Sumatera Utara,6401600000
2012,Sumatera Utara,9000000000
2012,Sumatera Utara,9000000000
2012,Sumatera Utara,16875000000
2012,Sumatera Utara,64991800000
2012,Sumatera Utara,50753500000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,1282832200000
2012,Sumatera Utara,54428600000
2012,Sumatera Utara,0
2012,Sumatera Utara,2248200000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,18067100000
2012,Sumatera Utara,104795500000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,125372400000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,9974300000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,40610900000
2012,Sumatera Utara,22133800000
2012,Sumatera Utara,9969700000
2012,Sumatera Utara,18358900000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,217400000
2012,Sumatera Utara,0
2012,Sumatera Utara,2169600000
2012,Sumatera Utara,3834200000
2012,Sumatera Utara,0
2012,Sumatera Utara,38367600000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,61735800000
2012,Sumatera Utara,0
2012,Sumatera Utara,23000000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,894400000
2012,Sumatera Utara,23027100000
2012,Sumatera Utara,1240000000
2012,Sumatera Utara,12494600000
2012,Sumatera Utara,0
2012,Sumatera Utara,975700000
2012,Sumatera Utara,5930200000
2012,Sumatera Utara,946400000
2012,Sumatera Utara,83400000
2012,Sumatera Utara,36971100000
2012,Sumatera Utara,5859500000
2012,Sumatera Utara,2542400000
2012,Sumatera Utara,1250000000
2012,Sumatera Utara,38061000000
2012,Sumatera Utara,0
2012,Sumatera Utara,7456700000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,98763300000
2012,Sumatera Utara,62860300000
2012,Sumatera Utara,9936100000
2012,Sumatera Utara,0
2012,Sumatera Utara,3791000000
2012,Sumatera Utara,10000000000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,29773700000
2012,Sumatera Utara,0
2012,Sumatera Utara,32300500000
2012,Sumatera Utara,819706800000
2012,Sumatera Utara,11178000000
2012,Sumatera Utara,32778000000
2012,Sumatera Utara,0
2012,Sumatera Utara,131400000
2012,Sumatera Utara,9743900000
2012,Sumatera Utara,11581300000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,150678800000
2012,Sumatera Utara,3700000
2012,Sumatera Utara,2000000000
2012,Sumatera Utara,6000000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,100000
2012,Sumatera Utara,53877300000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,74289100000
2012,Sumatera Utara,0
2012,Sumatera Utara,1100000000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,2164300000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,25020600000
2012,Sumatera Utara,5091000000
2012,Sumatera Utara,2574600000
2012,Sumatera Utara,4914000000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,12150000000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,2252500000
2012,Sumatera Utara,0
2012,Sumatera Utara,62968800000
2012,Sumatera Utara,47215200000
2012,Sumatera Utara,211280400000
2012,Sumatera Utara,40872200000
2012,Sumatera Utara,13706700000
2012,Sumatera Utara,403735700000
2012,Sumatera Utara,10050900000
2012,Sumatera Utara,15717400000
2012,Sumatera Utara,1143000000
2012,Sumatera Utara,0
2012,Sumatera Utara,149222000000
2012,Sumatera Utara,0
2012,Sumatera Utara,1000000000
2012,Sumatera Utara,2248200000
2012,Sumatera Utara,0
2012,Sumatera Utara,82800000
2012,Sumatera Utara,154400000
2012,Sumatera Utara,323600000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,3661100000
2012,Sumatera Utara,0
2012,Sumatera Utara,758000000
2012,Sumatera Utara,147452400000
2012,Sumatera Utara,217000000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,494300000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,225000000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,0
2012,Sumatera Utara,23806100000
2012,Sumatera Utara,389000000
2012,Sumatera Utara,51305500000
2012,Sumatera Utara,0
2012,Sumatera Utara,500000000
2012,Sumatera Utara,1788300000
2012,Sumatera Utara,0
2012,Sumatera Utara,31973500000
2012,Sumatera Utara,43400000000
2012,Sumatera Utara,8951900000
2012,Sumatera Utara,0
2012,Sumatera Utara,440000000
2012,Sumatera Utara,8812800000
2012,Sumatera Utara,166100000
2012,Sumatera Utara,207600000
2012,Sumatera Utara,0
2012,Sumatera Utara,1682600000
2012,Sumatera Utara,42602500000
2012,Sumatera Utara,36134300000
2012,Sumatera Utara,0
2012,Sumatera Utara,0
