tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun_awal,tahun_akhir,growth_daerah,growth_pembanding,share_daerah,share_pembanding,kuadran,kategori_kuadran
provinsi,18,,5,2021,2022,3.72,4.95,0.11,0.09,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,18,,6,2021,2022,3.86,4.95,10.21,10.04,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,18,,7,2021,2022,15.42,4.95,13.7,13.66,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,18,,8,2021,2022,20.31,4.95,5.83,4.35,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,18,,9,2021,2022,12.61,4.95,1.5,3.11,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,18,,10,2021,2022,0.48,4.95,5.39,6.7,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,18,,11,2021,2022,-3.65,4.95,1.95,4.23,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,18,,12,2021,2022,3.42,4.95,2.98,3.03,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,18,,13,2021,2022,17.49,4.95,0.15,1.91,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,18,,14,2021,2022,-1.26,4.95,3.12,3.33,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,18,,15,2021,2022,2.68,4.95,2.98,3.15,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,18,,16,2021,2022,-0.1,4.95,1.07,1.44,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,18,,17,2021,2022,25.45,4.95,1.05,1.96,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,18,,1,2022,2023,0.55,5.05,25.89,12.37,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,18,,2,2022,2023,2.96,5.05,4.71,7.74,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,18,,3,2022,2023,1.43,5.05,17.55,21.32,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,18,,4,2022,2023,1.36,5.05,0.16,1.09,"Kuadran IV","Sektor Relatif Tertinggal"
provinsi,18,,5,2022,2023,0.51,5.05,0.11,0.09,"Kuadran II","Sektor Maju tapi Tertekan"
provinsi,18,,6,2022,2023,7.02,5.05,10.45,10.03,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,18,,7,2022,2023,9.77,5.05,14.39,13.64,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,18,,8,2022,2023,16.54,5.05,6.49,4.72,"Kuadran I","Sektor Maju dan Tumbuh Pesat"
provinsi,18,,9,2022,2023,13.38,5.05,1.62,3.25,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,18,,10,2022,2023,7.5,5.05,5.54,6.86,"Kuadran III","Sektor Berkembang Cepat / Potensial"
provinsi,18,,11,2022,2023,3.19,5.05,1.92,4.22,"Kuadran IV","Sektor Relatif Tertinggal"
