kab_id,sektor_id,tahun,nilai
12.04,1,2024,1499000000000
12.04,2,2024,277000000000
12.04,3,2024,6000000000
12.04,4,2024,3000000000
12.04,5,2024,
12.04,6,2024,303000000000
12.04,7,2024,256000000000
12.04,8,2024,42000000000
12.04,9,2024,52000000000
12.04,10,2024,9000000000
12.04,11,2024,41000000000
12.04,12,2024,52000000000
12.04,13,2024,2000000000
12.04,14,2024,352000000000
12.04,15,2024,42000000000
12.04,16,2024,22000000000
12.04,17,2024,6000000000
12.04,1,2025,1555000000000
12.04,2,2025,291000000000
12.04,3,2025,6000000000
12.04,4,2025,3000000000
12.04,5,2025,
12.04,6,2025,297000000000
12.04,7,2025,269000000000
12.04,8,2025,44000000000
12.04,9,2025,55000000000
12.04,10,2025,9000000000
12.04,11,2025,43000000000
12.04,12,2025,56000000000
12.04,13,2025,2000000000
12.04,14,2025,373000000000
12.04,15,2025,43000000000
12.04,16,2025,23000000000
12.04,17,2025,6000000000
12.05,1,2021,13359530000000
12.05,2,2021,2987880000000
12.05,3,2021,4152350000000
12.05,4,2021,73280000000
12.05,5,2021,12780000000
12.05,6,2021,2148200000000
12.05,7,2021,2877870000000
12.05,8,2021,578940000000
12.05,9,2021,601370000000
12.05,10,2021,483410000000
12.05,11,2021,565980000000
12.05,12,2021,817540000000
12.05,13,2021,145380000000
12.05,14,2021,871640000000
12.05,15,2021,372390000000
12.05,16,2021,142000000000
12.05,17,2021,56860000000
12.05,1,2022,14141370000000
12.05,2,2022,3122920000000
12.05,3,2022,4237520000000
12.05,4,2022,76300000000
12.05,5,2022,13140000000
12.05,6,2022,2297920000000
12.05,7,2022,2979370000000
12.05,8,2022,627790000000
12.05,9,2022,638790000000
12.05,10,2022,487100000000
12.05,11,2022,586150000000
12.05,12,2022,844330000000
12.05,13,2022,156050000000
12.05,14,2022,863180000000
12.05,15,2022,384300000000
12.05,16,2022,148750000000
12.05,17,2022,60510000000
12.05,1,2023,14799270000000
12.05,2,2023,3296170000000
12.05,3,2023,4363030000000
12.05,4,2023,78690000000
12.05,5,2023,13080000000
12.05,6,2023,2480940000000
12.05,7,2023,3122220000000
12.05,8,2023,673380000000
12.05,9,2023,694290000000
12.05,10,2023,512690000000
12.05,11,2023,610320000000
12.05,12,2023,868060000000
12.05,13,2023,160970000000
12.05,14,2023,922960000000
12.05,15,2023,405920000000
12.05,16,2023,157800000000
12.05,17,2023,65330000000
12.05,1,2024,15548370000000
12.05,2,2024,3419180000000
12.05,3,2024,4558040000000
12.05,4,2024,80590000000
12.05,5,2024,13260000000
12.05,6,2024,2535030000000
12.05,7,2024,3303680000000
12.05,8,2024,722950000000
12.05,9,2024,759320000000
12.05,10,2024,552410000000
12.05,11,2024,662130000000
12.05,12,2024,885710000000
12.05,13,2024,167900000000
12.05,14,2024,998480000000
12.05,15,2024,432110000000
12.05,16,2024,170740000000
12.05,17,2024,70590000000
12.05,1,2025,16303790000000
12.05,2,2025,3463820000000
12.05,3,2025,4772150000000
12.05,4,2025,84770000000
12.05,5,2025,13680000000
12.05,6,2025,2534490000000
12.05,7,2025,3488190000000
12.05,8,2025,787380000000
12.05,9,2025,776030000000
12.05,10,2025,580710000000
12.05,11,2025,691010000000
12.05,12,2025,947340000000
12.05,13,2025,172790000000
12.05,14,2025,980130000000
12.05,15,2025,458620000000
12.05,16,2025,185110000000
12.05,17,2025,71260000000
12.06,1,2021,8106360000000
12.06,2,2021,33280000000
12.06,3,2021,480790000000
12.06,4,2021,14370000000
12.06,5,2021,12250000000
12.06,6,2021,960590000000
12.06,7,2021,1519810000000
12.06,8,2021,654790000000
12.06,9,2021,375290000000
12.06,10,2021,158760000000
12.06,11,2021,195290000000
12.06,12,2021,469350000000
12.06,13,2021,27360000000
12.06,14,2021,815960000000
12.06,15,2021,386250000000
12.06,16,2021,179490000000
12.06,17,2021,192340000000
12.06,1,2022,8421760000000
12.06,2,2022,34910000000
12.06,3,2022,506930000000
12.06,4,2022,14960000000
12.06,5,2022,12520000000
12.06,6,2022,988310000000
12.06,7,2022,1604460000000
12.06,8,2022,711770000000
12.06,9,2022,396890000000
12.06,10,2022,169000000000
12.06,11,2022,203650000000
12.06,12,2022,490270000000
12.06,13,2022,28570000000
12.06,14,2022,818690000000
