tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun_awal,tahun_akhir,n_nij,c_cij,s_sij,d_dij,keunggulan_kompetitif,spesialisasi
provinsi,16,,8,2021,2022,295454644620.76,891170002244.47,-491894646865.24,694730000000,0,1
provinsi,16,,9,2021,2022,225435529120.57,318858172639.37,124336298240.06,668630000000,1,1
provinsi,16,,10,2021,2022,640761731915.22,359906069235.41,51462198849.37,1052130000000,1,1
provinsi,16,,11,2021,2022,385438583169.15,-234762655174.06,-197475927995.08,-46800000000,0,0
provinsi,16,,12,2021,2022,534697094361.55,-348817010144.81,379329915783.26,565210000000,1,0
provinsi,16,,13,2021,2022,17825116452.14,13784238734.67,-21159355186.81,10450000000,0,1
provinsi,16,,14,2021,2022,507615582438.42,-249086196610.25,120950614171.83,379480000000,1,0
provinsi,16,,15,2021,2022,426145449857.98,-379026304988.31,146150855130.33,193270000000,1,0
provinsi,16,,16,2021,2022,118742089929.08,-52714576275.69,33502486346.61,99530000000,1,0
provinsi,16,,17,2021,2022,134849999076.05,123166365772.44,-202166364848.5,55850000000,0,1
provinsi,16,,1,2022,2023,2877042006486.2,-2133707478436.9,484395471950.75,1227730000000,1,0
provinsi,16,,2,2022,2023,3871150221666,817837792456.52,1402791985877.5,6091780000000,1,1
provinsi,16,,3,2022,2023,3199527766661.5,-262202040353.11,-483465726308.45,2453860000000,0,0
provinsi,16,,4,2022,2023,21425667489.24,-623328905.68,-2562338583.56,18240000000,0,0
provinsi,16,,5,2022,2023,18478715865.67,-575874877.79,-17512840987.88,390000000,0,0
provinsi,16,,6,2022,2023,1876834698150.3,-52129393487.4,-505095304662.86,1319610000000,0,0
provinsi,16,,7,2022,2023,1952581614371.5,-78730266914.02,904968652542.47,2778820000000,1,0
provinsi,16,,8,2022,2023,336934465365.95,593931722231.33,-430696187597.28,500170000000,0,1
provinsi,16,,9,2022,2023,264086993744.99,258623356757.78,163979649497.23,686690000000,1,1
provinsi,16,,10,2022,2023,707747503041.05,355826129144.73,-174973632185.78,888600000000,0,1
provinsi,16,,11,2022,2023,391381557170.24,-21642732453.24,-13478824717,356260000000,0,0
provinsi,16,,12,2022,2023,574787979789.25,-412086422444.72,324518442655.47,487220000000,1,0
