tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori,persen_daerah,persen_acuan
provinsi,15,,5,2021,1.4897,Basis,0.14,0.09
provinsi,15,,6,2021,0.7564,"Non Basis",7.82,10.33
provinsi,15,,7,2021,0.7199,"Non Basis",9.78,13.59
provinsi,15,,8,2021,0.7577,"Non Basis",2.88,3.81
provinsi,15,,9,2021,0.3708,"Non Basis",1.08,2.91
provinsi,15,,10,2021,0.6308,"Non Basis",4.12,6.53
provinsi,15,,11,2021,0.5484,"Non Basis",2.39,4.35
provinsi,15,,12,2021,0.4748,"Non Basis",1.48,3.12
provinsi,15,,13,2021,0.5419,"Non Basis",1,1.85
provinsi,15,,14,2021,0.9385,"Non Basis",3.2,3.41
provinsi,15,,15,2021,1.0317,Basis,3.39,3.29
provinsi,15,,16,2021,0.9765,"Non Basis",1.44,1.47
provinsi,15,,17,2021,0.5255,"Non Basis",0.99,1.88
provinsi,15,,1,2022,2.0863,Basis,26.75,12.82
provinsi,15,,2,2022,3.1063,Basis,23.81,7.66
provinsi,15,,3,2022,0.4684,"Non Basis",10.02,21.4
provinsi,15,,4,2022,0.0549,"Non Basis",0.06,1.09
provinsi,15,,5,2022,1.4859,Basis,0.14,0.09
provinsi,15,,6,2022,0.7337,"Non Basis",7.37,10.04
provinsi,15,,7,2022,0.7178,"Non Basis",9.81,13.66
provinsi,15,,8,2022,0.7381,"Non Basis",3.21,4.35
provinsi,15,,9,2022,0.3673,"Non Basis",1.14,3.11
provinsi,15,,10,2022,0.6269,"Non Basis",4.2,6.7
provinsi,15,,11,2022,0.5332,"Non Basis",2.26,4.23
provinsi,15,,12,2022,0.4857,"Non Basis",1.47,3.03
provinsi,15,,13,2022,0.5727,"Non Basis",1.1,1.91
provinsi,15,,14,2022,0.908,"Non Basis",3.03,3.33
provinsi,15,,15,2022,1.045,Basis,3.29,3.15
provinsi,15,,16,2022,0.9268,"Non Basis",1.34,1.44
provinsi,15,,17,2022,0.5167,"Non Basis",1.01,1.96
provinsi,15,,1,2023,2.1834,Basis,27,12.37
provinsi,15,,2,2023,2.9395,Basis,22.76,7.74
provinsi,15,,3,2023,0.4681,"Non Basis",9.98,21.32
provinsi,15,,4,2023,0.0589,"Non Basis",0.06,1.09
provinsi,15,,5,2023,1.425,Basis,0.13,0.09
provinsi,15,,6,2023,0.758,"Non Basis",7.6,10.03
provinsi,15,,7,2023,0.7474,"Non Basis",10.19,13.64
provinsi,15,,8,2023,0.704,"Non Basis",3.32,4.72
provinsi,15,,9,2023,0.3646,"Non Basis",1.19,3.25
provinsi,15,,10,2023,0.6288,"Non Basis",4.32,6.86
provinsi,15,,11,2023,0.5171,"Non Basis",2.18,4.22
provinsi,15,,12,2023,0.4965,"Non Basis",1.45,2.92
provinsi,15,,13,2023,0.6205,"Non Basis",1.22,1.97
provinsi,15,,14,2023,0.9251,"Non Basis",2.98,3.22
provinsi,15,,15,2023,1.0569,Basis,3.22,3.05
provinsi,15,,16,2023,0.9303,"Non Basis",1.34,1.44
provinsi,15,,17,2023,0.5094,"Non Basis",1.05,2.06
provinsi,15,,1,2024,2.2744,Basis,26.94,11.84
provinsi,15,,2,2024,2.793,Basis,21.58,7.73
provinsi,15,,3,2024,0.4723,"Non Basis",10,21.18
provinsi,15,,4,2024,0.0608,"Non Basis",0.07,1.09
provinsi,15,,5,2024,1.439,Basis,0.13,0.09
provinsi,15,,6,2024,0.7825,"Non Basis",7.99,10.21
provinsi,15,,7,2024,0.7609,"Non Basis",10.35,13.61
