tingkat_wilayah,provinsi_id,kabupaten_id,sektor_id,tahun,nilai_lq,kategori_lq,shift_share_net,klasifikasi_sektor
provinsi,21,,16,2025,0.6618,"Non Basis",-62843264588.07,"Relatif Tertinggal"
provinsi,21,,17,2025,0.1316,"Non Basis",-52034784585.58,"Relatif Tertinggal"
provinsi,16,,1,2022,1.2924,Basis,855767447119.19,"Maju dan Tumbuh Cepat"
provinsi,16,,2,2022,2.9096,Basis,1364838492051.1,"Maju dan Tumbuh Cepat"
provinsi,16,,3,2022,0.8611,"Non Basis",-227171241906.1,"Relatif Tertinggal"
provinsi,16,,4,2022,0.1129,"Non Basis",-21513699259.37,"Relatif Tertinggal"
provinsi,16,,5,2022,1.1639,Basis,-9336895043,"Maju tapi Tertekan"
provinsi,16,,6,2022,1.0763,Basis,-274240149809.84,"Maju tapi Tertekan"
provinsi,16,,7,2022,0.8231,"Non Basis",1662242819338.9,"Potensial / Cepat Berkembang"
provinsi,16,,8,2022,0.4464,"Non Basis",-491894646865.24,"Relatif Tertinggal"
provinsi,16,,9,2022,0.4897,"Non Basis",124336298240.06,"Potensial / Cepat Berkembang"
provinsi,16,,10,2022,0.6084,"Non Basis",51462198849.37,"Potensial / Cepat Berkembang"
provinsi,16,,11,2022,0.533,"Non Basis",-197475927995.08,"Relatif Tertinggal"
provinsi,16,,12,2022,1.0936,Basis,379329915783.26,"Maju dan Tumbuh Cepat"
provinsi,16,,13,2022,0.0564,"Non Basis",-21159355186.81,"Relatif Tertinggal"
provinsi,16,,14,2022,0.9288,"Non Basis",120950614171.83,"Potensial / Cepat Berkembang"
provinsi,16,,15,2022,0.8142,"Non Basis",146150855130.33,"Potensial / Cepat Berkembang"
provinsi,16,,16,2022,0.5048,"Non Basis",33502486346.61,"Potensial / Cepat Berkembang"
provinsi,16,,17,2022,0.4126,"Non Basis",-202166364848.5,"Relatif Tertinggal"
provinsi,16,,1,2023,1.3029,Basis,484395471950.75,"Maju dan Tumbuh Cepat"
provinsi,16,,2,2023,2.9589,Basis,1402791985877.5,"Maju dan Tumbuh Cepat"
provinsi,16,,3,2023,0.8545,"Non Basis",-483465726308.45,"Relatif Tertinggal"
provinsi,16,,4,2023,0.1122,"Non Basis",-2562338583.56,"Relatif Tertinggal"
provinsi,16,,5,2023,1.1104,Basis,-17512840987.88,"Maju tapi Tertekan"
provinsi,16,,6,2023,1.062,Basis,-505095304662.86,"Maju tapi Tertekan"
provinsi,16,,7,2023,0.8413,"Non Basis",904968652542.47,"Potensial / Cepat Berkembang"
provinsi,16,,8,2023,0.4209,"Non Basis",-430696187597.28,"Relatif Tertinggal"
provinsi,16,,9,2023,0.5035,"Non Basis",163979649497.23,"Potensial / Cepat Berkembang"
provinsi,16,,10,2023,0.6012,"Non Basis",-174973632185.78,"Relatif Tertinggal"
provinsi,16,,11,2023,0.532,"Non Basis",-13478824717,"Relatif Tertinggal"
provinsi,16,,12,2023,1.124,Basis,324518442655.47,"Maju dan Tumbuh Cepat"
