provinsi_id,sektor_id,tahun,nilai
18,16,2022,2765440000000
18,17,2022,2702770000000
18,1,2023,69697990000000
18,2,2023,12684060000000
18,3,2023,47257570000000
18,4,2023,434620000000
18,5,2023,284470000000
18,6,2023,28140920000000
18,7,2023,38744230000000
18,8,2023,17482250000000
18,9,2023,4374490000000
18,10,2023,14924330000000
18,11,2023,5181360000000
18,12,2023,7745860000000
18,13,2023,414200000000
18,14,2023,8034210000000
18,15,2023,7849020000000
18,16,2023,2872530000000
18,17,2023,3118440000000
18,1,2024,68339770000000
18,2,2024,13300910000000
18,3,2024,51493880000000
18,4,2024,406670000000
18,5,2024,283580000000
18,6,2024,28918180000000
18,7,2024,41533590000000
18,8,2024,19201780000000
18,9,2024,4616760000000
18,10,2024,16211330000000
18,11,2024,5430510000000
18,12,2024,8269420000000
18,13,2024,451420000000
18,14,2024,8601240000000
18,15,2024,7966030000000
18,16,2024,3082070000000
18,17,2024,3450070000000
18,1,2025,72381450000000
18,2,2025,13144830000000
18,3,2025,54750290000000
18,4,2025,394280000000
18,5,2025,290800000000
18,6,2025,30522160000000
18,7,2025,43777260000000
18,8,2025,20606710000000
18,9,2025,4978260000000
18,10,2025,16945680000000
18,11,2025,5753900000000
18,12,2025,8596730000000
18,13,2025,470650000000
18,14,2025,8838210000000
18,15,2025,8113120000000
18,16,2025,3151550000000
18,17,2025,3704770000000
11,1,2021,37768080000000
11,2,2021,10407740000000
11,3,2021,6212090000000
11,4,2021,216910000000
11,5,2021,51380000000
11,6,2021,13837070000000
11,7,2021,20051150000000
11,8,2021,8434100000000
11,9,2021,1550100000000
11,10,2021,5580290000000
11,11,2021,2236320000000
11,12,2021,5666650000000
11,13,2021,842990000000
11,14,2021,12190190000000
11,15,2021,3696480000000
11,16,2021,4575350000000
11,17,2021,1957150000000
11,1,2022,39005090000000
11,2,2022,10855210000000
11,3,2022,6472360000000
11,4,2022,222190000000
11,5,2022,55960000000
11,6,2022,13524500000000
11,7,2022,21327340000000
11,8,2022,9044500000000
11,9,2022,2052340000000
11,10,2022,6207920000000
11,11,2022,2103700000000
11,12,2022,5892360000000
11,13,2022,940450000000
11,14,2022,12182580000000
11,15,2022,3838080000000
11,16,2022,5023970000000
11,17,2022,2223150000000
11,1,2023,41626320000000
11,2,2023,10330730000000
11,3,2023,6371280000000
11,4,2023,238470000000
11,5,2023,58430000000
11,6,2023,14020440000000
11,7,2023,23258340000000
11,8,2023,9720940000000
11,9,2023,2219940000000
11,10,2023,6509100000000
11,11,2023,1874070000000
11,12,2023,6107450000000
11,13,2023,930640000000
11,14,2023,12407000000000
11,15,2023,3907800000000
11,16,2023,5002720000000
11,17,2023,2348830000000
11,1,2024,42121370000000
11,2,2024,11483250000000
11,3,2024,6559190000000
11,4,2024,251690000000
11,5,2024,59540000000
11,6,2024,14633070000000
